# Column 1 = Input data size
# Column 2 = Avg time for HashTableCollection sort function
# Column 3 = Avg time for AVLCollection sort function
# Column 4 = Avg time for RBTCollection sort function
# All times are measured in microseconds
0 0.0000 0.0000 0.0000
10000 53.6567 4.7420 5.3047
20000 119.5467 10.0397 10.7617
30000 189.1283 18.3730 19.2333
40000 255.1447 20.2610 21.5847
50000 325.8460 32.5640 34.5290
60000 405.9180 34.0530 39.8897
70000 463.1273 36.5733 40.5000
80000 526.2343 38.6450 43.8243
90000 608.0183 60.8887 67.6053
100000 698.2427 63.3207 71.0647
110000 800.5847 65.7803 72.1433
120000 862.6687 69.0673 74.8547
130000 960.7067 72.7527 78.6973
140000 1032.0753 73.6427 84.2643
150000 1037.7810 76.0337 90.6063
160000 1184.9530 78.5180 86.1967
170000 1265.5450 126.5603 134.9687
180000 1368.4010 140.0280 143.6893
190000 1386.1127 135.9743 139.6867
200000 1445.0610 144.9457 147.7990
210000 1605.9560 146.4757 153.6503
220000 1690.1557 150.8927 152.4767
230000 1673.8730 135.7067 148.7913
240000 1786.5960 154.5403 159.5393
250000 1838.3187 156.7433 161.5963
260000 1895.0050 159.3103 164.7313
270000 2026.9640 161.9140 171.5950
280000 2099.2593 144.5437 167.5540
290000 2281.8327 165.4633 172.1797
300000 2210.5380 155.3293 158.9730
