# Column 1 = Input data size
# Column 2 = Avg time for HashTableCollection find-value function
# Column 3 = Avg time for AVLCollection find-value function
# Column 4 = Avg time for RBTCollection find-value function
# All times are measured in microseconds
0 0.0000 0.0000 0.0000
10000 0.0013 0.0040 0.0043
20000 0.0013 0.0033 0.0050
30000 0.0013 0.0043 0.0047
40000 0.0013 0.0033 0.0047
50000 0.0270 0.0043 0.0053
60000 0.0023 0.0043 0.0047
70000 0.0013 0.0043 0.0053
80000 0.0013 0.0033 0.0047
90000 0.0013 0.0050 0.0063
100000 0.0003 0.0043 0.0057
110000 0.0013 0.0050 0.0057
120000 0.0013 0.0043 0.0047
130000 0.0013 0.0050 0.0057
140000 0.0023 0.0043 0.0060
150000 0.0017 0.0807 0.0060
160000 0.0013 0.0033 0.0127
170000 0.0013 0.0060 0.0057
180000 0.0013 0.0060 0.0057
190000 0.0013 0.0053 0.0057
200000 0.0003 0.0130 0.0060
210000 0.0017 0.0053 0.0060
220000 0.0023 0.0050 0.0057
230000 0.0027 0.0053 0.0060
240000 0.0023 0.0043 0.0053
250000 0.0013 0.0053 0.0063
260000 0.0027 0.0050 0.0063
270000 0.0013 0.0053 0.0057
280000 0.0013 0.0043 0.0060
290000 0.0033 0.0053 0.0063
300000 0.0027 0.0050 0.0060
